Team,Wins,Losses,Home_Wins,Home_Losses,Away_Wins,Away_Losses,ATS_WINS,ATS_Losses,ATS_Ties,ATS_Home_Wins,ATS_Home_Losses,ATS_Home_Ties,ATS_Away_Wins,ATS_Away_Losses,ATS_Away_Ties,OU_Wins,OU_Losses,OU_Ties,OU_Home_Wins,OU_Home_Losses,OU_Home_Ties,OU_Away_Wins,OU_Away_Losses,OU_Away_Ties
Delaware,12,13,8,4,3,8,12,10,1,6,4,1,6,6,0,15,8,0,7,4,0,8,4,0
California,12,12,10,5,2,6,12,11,1,6,8,1,6,3,0,11,13,0,9,6,0,2,7,0
TN-Martin,10,15,7,3,3,11,12,11,1,5,4,0,7,7,1,13,11,0,5,4,0,8,7,0
S. Alabama,16,9,10,4,6,5,12,11,0,5,7,0,7,4,0,7,16,0,4,8,0,3,8,0
N. Colorado,18,7,11,2,6,5,12,11,0,4,7,0,8,4,0,13,9,1,7,4,0,6,5,1
North Dakota,9,17,6,5,2,10,12,11,0,5,6,0,7,5,0,17,6,0,9,2,0,8,4,0
Houston,19,4,12,1,6,0,12,11,0,8,8,0,4,3,0,10,12,1,7,9,0,3,3,1
Samford,19,6,12,1,7,5,12,11,0,8,3,0,4,8,0,8,15,0,4,7,0,4,8,0
Denver,8,18,6,6,2,10,12,11,1,5,6,0,7,5,1,12,12,0,6,5,0,6,7,0
IUIN,8,18,5,6,3,10,12,11,0,4,5,0,8,6,0,15,8,0,5,4,0,10,4,0
Rice,12,12,6,5,4,5,12,11,0,6,7,0,6,4,0,12,11,0,7,6,0,5,5,0
Pittsburgh,14,9,10,3,3,5,12,11,0,8,5,0,4,6,0,13,9,1,8,4,1,5,5,0
Youngstown St,16,10,7,4,8,5,12,11,1,4,6,1,8,5,0,9,15,0,4,7,0,5,8,0
Boise State,17,7,11,1,3,4,12,11,0,9,5,0,3,6,0,12,11,0,7,7,0,5,4,0
Kentucky,16,7,12,2,2,4,12,11,0,8,7,0,4,4,0,13,10,0,9,6,0,4,4,0
Stony Brook,6,19,3,8,3,10,12,11,1,5,5,0,7,6,1,12,11,1,5,5,0,7,6,1
Towson,16,9,8,1,8,4,12,11,1,4,4,1,8,7,0,9,14,1,3,5,1,6,9,0
Pepperdine,9,15,6,6,2,8,12,11,1,7,6,0,5,5,1,13,11,0,6,7,0,7,4,0
BYU,15,8,11,2,2,5,12,11,0,10,6,0,2,5,0,12,11,0,8,8,0,4,3,0
UMASS,11,13,7,5,4,4,12,11,0,5,9,0,7,2,0,12,11,0,7,7,0,5,4,0
George Mason,19,5,14,1,5,4,12,11,0,7,7,0,5,4,0,10,13,0,8,6,0,2,7,0
Stanford,16,8,13,2,3,4,12,12,0,9,8,0,3,4,0,12,12,0,8,9,0,4,3,0
Wake Forest,18,6,11,1,5,4,12,12,0,7,8,0,5,4,0,9,15,0,5,10,0,4,5,0
Boston U,12,13,9,3,2,10,12,12,0,9,3,0,3,9,0,9,15,0,5,7,0,4,8,0
Gardner-Webb,9,15,5,4,2,11,12,12,0,4,6,0,8,6,0,16,7,1,7,2,1,9,5,0
Charleston So,9,17,6,4,3,11,12,12,0,4,5,0,8,7,0,13,10,1,4,5,0,9,5,1
Wright State,13,13,9,3,3,8,12,12,1,9,5,0,3,7,1,12,13,0,6,8,0,6,5,0
Georgia,16,8,13,2,1,5,12,12,0,11,6,0,1,6,0,8,16,0,8,9,0,0,7,0
Illinois,16,8,10,3,4,4,12,12,0,9,5,0,3,7,0,14,10,0,8,6,0,6,4,0
Saint Mary's,21,4,12,1,7,1,12,12,0,6,7,0,6,5,0,10,13,1,6,6,1,4,7,0
San Francisco,20,6,15,0,3,4,12,12,1,9,8,0,3,4,1,11,13,1,8,9,0,3,4,1
Xavier,14,10,11,2,2,7,12,12,0,8,7,0,4,5,0,10,13,1,6,9,0,4,4,1
Villanova,14,10,11,3,2,5,12,12,0,9,7,0,3,5,0,15,8,1,10,5,1,5,3,0
Providence,11,13,9,3,2,6,12,12,0,7,8,0,5,4,0,13,10,1,8,6,1,5,4,0
Wofford,13,12,7,3,5,8,12,13,0,5,6,0,7,7,0,12,12,1,6,4,1,6,8,0
San Diego,4,22,4,11,0,10,12,13,0,6,8,0,6,5,0,12,13,0,7,7,0,5,6,0
Pacific,8,19,5,8,1,11,12,13,0,5,7,0,7,6,0,10,15,0,6,6,0,4,9,0
Delaware St,12,10,7,1,3,9,11,7,0,3,2,0,8,5,0,10,8,0,2,3,0,8,5,0
UTEP,16,7,10,2,4,4,11,8,1,4,6,1,7,2,0,11,9,0,5,6,0,6,3,0
Kent State,15,8,7,4,6,3,11,8,2,4,6,1,7,2,1,6,15,0,6,5,0,0,10,0
Incarnate Word,11,13,8,5,2,8,11,9,0,4,5,0,7,4,0,9,10,1,3,5,1,6,5,0
Wyoming,11,13,7,5,3,6,11,9,3,6,5,0,5,4,3,10,13,0,5,6,0,5,7,0
C. Michigan,11,12,7,4,4,7,11,9,0,6,3,0,5,6,0,11,9,0,6,3,0,5,6,0
Montana,17,8,12,1,5,7,11,10,1,5,4,1,6,6,0,14,8,0,6,4,0,8,4,0
FIU,8,16,6,7,1,8,11,10,1,5,7,1,6,3,0,10,12,0,7,6,0,3,6,0
Syracuse,11,13,9,5,2,5,11,10,3,5,7,2,6,3,1,11,13,0,6,8,0,5,5,0
S. Illinois,12,13,6,5,5,5,11,11,1,4,8,0,7,3,1,11,12,0,5,7,0,6,5,0
App State,15,9,9,3,4,5,11,11,0,6,6,0,5,5,0,8,13,1,5,6,1,3,7,0
SMU,18,5,10,3,5,2,11,11,1,7,7,0,4,4,1,14,9,0,10,4,0,4,5,0
Mercer,11,14,6,4,4,9,11,11,1,6,3,1,5,8,0,11,12,0,3,7,0,8,5,0
Furman,18,7,10,2,7,5,11,11,1,4,6,0,7,5,1,12,11,0,5,5,0,7,6,0
McNeese St,18,6,10,1,6,2,11,11,0,5,6,0,6,5,0,10,11,1,6,4,1,4,7,0
Prairie View,4,19,2,4,2,15,11,11,0,3,2,0,8,9,0,12,10,0,4,1,0,8,9,0
Notre Dame,10,13,8,3,2,7,11,11,1,6,6,1,5,5,0,10,12,1,6,6,1,4,6,0
Holy Cross,12,13,6,4,4,9,11,11,1,4,5,0,7,6,1,12,11,0,4,5,0,8,6,0
G Washington,16,8,11,2,3,5,11,11,0,8,5,0,3,6,0,9,12,1,6,7,0,3,5,1
Tarleton St,10,15,8,1,1,12,11,11,0,5,3,0,6,8,0,10,12,0,4,4,0,6,8,0
Utah,13,10,12,3,1,5,11,12,0,9,6,0,2,6,0,9,14,0,6,9,0,3,5,0
E. Kentucky,14,11,7,3,6,6,11,12,0,3,6,0,8,6,0,15,8,0,5,4,0,10,4,0
Missouri St,8,17,6,6,1,9,11,12,1,5,7,0,6,5,1,12,12,0,6,6,0,6,6,0
Oklahoma,16,7,10,3,1,4,11,12,0,6,8,0,5,4,0,13,10,0,9,5,0,4,5,0
Idaho,11,14,7,5,4,8,11,12,0,5,5,0,6,7,0,15,8,0,6,4,0,9,4,0
UCF,13,10,10,4,2,4,11,12,0,7,10,0,4,2,0,14,9,0,8,9,0,6,0,0
Temple,14,10,10,0,2,7,11,12,0,6,5,0,5,7,0,18,5,0,9,2,0,9,3,0
